Sum of Average_Salary,Year,Quarter,Month,Day,Email,Q1 - Which Title Best Fits your Current Role?.1,Sum of Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q5 - Favorite Programming Language.2,Sum of Q6 - How Happy are you in your Current Position with the following? (Coworkers),Sum of Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Sum of Q6 - How Happy are you in your Current Position with the following? (Management),Sum of Q6 - How Happy are you in your Current Position with the following? (Salary),Sum of Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Sum of Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Time Spent,Time Taken (America/New_York),Unique ID
20,2022,Qtr 2,June,14,anonymous,Student/Looking/None,25,India,Bachelors,Asian or Asian American,No,0-40k,Tech,R,,7,6,6,4,6,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:07,1899-12-30 12:27:00,62a8b6ffbae91e4b8b8aa5c2
20,2022,Qtr 2,June,14,anonymous,Student/Looking/None,26,India,Masters,Asian or Asian American,Yes,0-40k,Telecommunication,Python,,3,5,4,0,5,3,Difficult,Good Work/Life Balance,Female,1899-12-30 00:01:02,1899-12-30 23:30:00,62a95253bae91e4b8b8b91d9
20,2022,Qtr 2,June,15,anonymous,Student/Looking/None,20,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,,,,0,,,Difficult,Remote Work,Female,1899-12-30 00:01:50,1899-12-30 23:50:00,62aaa86bbae91e4b8b8dc832
20,2022,Qtr 2,June,16,anonymous,Data Scientist,33,India,Bachelors,Asian or Asian American,Yes,0-40k,Real Estate,Python,,4,6,5,2,3,3,Very Easy,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 13:38:00,62ab6ab318134ddc75dabb09
20,2022,Qtr 2,June,16,anonymous,Other,24,India,Bachelors,Other (Please Specify):Indian,No,0-40k,Other,Python,,2,0,5,1,1,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:24,1899-12-30 22:52:00,62abec6cf3072dd8926f2ad0
20,2022,Qtr 2,June,16,anonymous,Student/Looking/None,33,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,2,9,2,7,7,7,Easy,Good Work/Life Balance,Male,1899-12-30 00:01:42,1899-12-30 04:50:00,62aaeecd0f8c8599d5ba6923
20,2022,Qtr 2,June,16,anonymous,Student/Looking/None,25,India,Masters,Asian or Asian American,Yes,0-40k,Finance,Other,SQL,3,3,3,3,3,3,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:22,1899-12-30 02:28:00,62aacd922e54c9003e5e33c2
20,2022,Qtr 2,June,19,anonymous,Data Analyst,23,India,Bachelors,Asian or Asian American,Yes,0-40k,Education,Python,,3,2,2,0,4,2,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:24,1899-12-30 08:01:00,62af10295d257a28a31e6ff8
20,2022,Qtr 2,June,19,anonymous,Data Analyst,27,India,Bachelors,Asian or Asian American,Yes,0-40k,Other,R,,8,6,8,3,6,9,Difficult,Better Salary,Male,1899-12-30 00:03:57,1899-12-30 12:50:00,62af53ce0f8c8599d5c04934
20,2022,Qtr 2,June,19,anonymous,Student/Looking/None,20,India,High School,Asian or Asian American,Yes,0-40k,Other,Python,,9,9,9,3,9,9,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:52,1899-12-30 07:25:00,62af07be7dc029e2d67cc3c8
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,"",Black or African American,No,0-40k,Other,Python,,1,0,1,1,2,1,Very Difficult,Better Salary,Male,1899-12-30 00:01:21,1899-12-30 08:49:00,62a33de124a26260273826b2
20,2022,Qtr 2,June,10,anonymous,Data Analyst,24,Other,"",Black or African American,No,0-40k,Tech,Python,,8,8,8,7,3,8,Easy,Better Salary,Male,1899-12-30 00:02:14,1899-12-30 08:51:00,62a33e62575fa3a5ae88aabf
20,2022,Qtr 2,June,10,anonymous,Data Analyst,33,Other,"",Black or African American,Yes,0-40k,Other,Python,,3,2,3,2,3,3,Difficult,Good Work/Life Balance,Male,1899-12-30 00:02:34,1899-12-30 08:44:00,62a33cb6cf25554317300177
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,Other,"",Black or African American,Yes,0-40k,Tech,Python,,4,2,2,1,2,2,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:06,1899-12-30 08:48:00,62a33d850f8c8599d5af10cb
53,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,"",Black or African American,Yes,41k-65k,Finance,Python,,5,5,5,5,5,5,Easy,Remote Work,Male,1899-12-30 00:01:23,1899-12-30 08:49:00,62a33dedd8c00e9f5419ce2b
20,2022,Qtr 2,June,10,anonymous,Data Analyst,32,Other,"",Hispanic or Latino,No,0-40k,Finance,Python,,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:47,1899-12-30 08:51:00,62a33e54d8c00e9f5419cfe9
20,2022,Qtr 2,June,10,anonymous,Data Analyst,24,Other,"",Hispanic or Latino,Yes,0-40k,Other,Python,,3,1,2,3,3,1,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:00:56,1899-12-30 08:55:00,62a33f56cf255543173005e9
53,2022,Qtr 2,June,10,anonymous,Data Analyst,42,Other,"",Other (Please Specify):Indian,Yes,41k-65k,Other,Other,Power bi,6,6,5,5,4,6,Very Difficult,Better Salary,Male,1899-12-30 00:01:52,1899-12-30 08:57:00,62a33fa5cec54911e9ca51f1
20,2022,Qtr 2,June,10,anonymous,Data Analyst,34,Other,"",Other (Please Specify):Latino with Italian roots,Yes,0-40k,Tech,R,,9,10,9,1,5,10,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:03:20,1899-12-30 08:46:00,62a33d15f408bae018ed370d
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,"",White or Caucasian,Yes,0-40k,Healthcare,Python,,8,1,8,5,7,6,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:25,1899-12-30 08:51:00,62a33e38f3072dd8926221d3
20,2022,Qtr 2,June,10,anonymous,Data Analyst,32,Other,"",White or Caucasian,Yes,0-40k,Other,Python,,10,8,10,3,7,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:31,1899-12-30 08:45:00,62a33cf30a77c1a77f65baa2
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Associates,Hispanic or Latino,No,0-40k,Tech,Python,,10,10,9,4,9,9,Easy,Better Salary,Male,1899-12-30 00:02:15,1899-12-30 09:07:00,62a34210cf25554317300c02
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,9,2,8,2,6,9,Easy,Better Salary,Male,1899-12-30 00:04:14,1899-12-30 09:17:00,62a3447a575fa3a5ae88b6c0
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,Asian or Asian American,Yes,0-40k,Other,R,,6,6,5,3,5,2,Neither easy nor difficult,Good Culture,Female,1899-12-30 00:05:15,1899-12-30 23:35:00,62a40d86d8c00e9f541afb5e
20,2022,Qtr 2,June,10,anonymous,Data Analyst,23,Other,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,5,8,5,4,6,5,Difficult,Good Work/Life Balance,Male,1899-12-30 00:03:29,1899-12-30 10:05:00,62a34fa418134ddc75ceb509
53,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Bachelors,Asian or Asian American,Yes,41k-65k,Finance,Python,,3,10,5,6,0,10,Difficult,Good Culture,Male,1899-12-30 00:04:22,1899-12-30 10:43:00,62a35878575fa3a5ae88e5d5
20,2022,Qtr 2,June,10,anonymous,Data Analyst,24,Other,Bachelors,Black or African American,No,0-40k,Finance,Other,I currently do not work with programming languages yet,8,9,8,4,8,7,Neither easy nor difficult,Other (Please Specify):an environment that encourages growth like where I work currently and better salary,Male,1899-12-30 00:03:59,1899-12-30 11:46:00,62a3676bb4da29969c633ac7
20,2022,Qtr 2,June,10,anonymous,Data Analyst,34,Other,Bachelors,Black or African American,No,0-40k,Other,R,,1,1,1,1,1,1,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:02,1899-12-30 14:01:00,62a3870bbc6861bf31775841
20,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Bachelors,Black or African American,Yes,0-40k,Education,Python,,5,0,0,0,0,0,Difficult,Good Culture,Male,1899-12-30 00:01:47,1899-12-30 15:55:00,62a3a1a62e54c9003e53dc35
20,2022,Qtr 2,June,10,anonymous,Data Analyst,34,Other,Bachelors,Black or African American,Yes,0-40k,Education,Python,,0,0,0,0,0,0,Very Difficult,Better Salary,Male,1899-12-30 00:01:39,1899-12-30 11:22:00,62a361af0f8c8599d5af6277
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,Black or African American,Yes,0-40k,Finance,C/C++,,4,3,3,5,3,2,Difficult,Good Work/Life Balance,Female,1899-12-30 00:02:03,1899-12-30 10:11:00,62a350f7f3072dd892624d05
20,2022,Qtr 2,June,10,anonymous,Data Analyst,31,Other,Bachelors,Black or African American,Yes,0-40k,Finance,Python,,8,8,7,4,8,7,Difficult,Better Salary,Male,1899-12-30 00:03:34,1899-12-30 13:07:00,62a37a43d8c00e9f541a4a7c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,Black or African American,Yes,0-40k,Finance,Python,,9,10,9,0,0,5,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:27,1899-12-30 18:40:00,62a3c8652e54c9003e54103e
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,Other,Bachelors,Black or African American,Yes,0-40k,Other,Python,,1,9,1,1,7,1,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:31,1899-12-30 13:20:00,62a37d41bae91e4b8b8369f7
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Bachelors,Black or African American,Yes,0-40k,Tech,Python,,1,6,5,1,6,2,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:08,1899-12-30 09:41:00,62a34a03cec54911e9ca6869
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Bachelors,Black or African American,Yes,0-40k,Tech,Python,,,6,,0,,3,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:41,1899-12-30 11:54:00,62a369280a77c1a77f661ad0
20,2022,Qtr 2,June,10,anonymous,Data Analyst,32,Other,Bachelors,Black or African American,Yes,0-40k,Tech,R,,8,9,7,2,6,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:29,1899-12-30 11:00:00,62a35c890a77c1a77f65fdfa
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,Bachelors,Black or African American,Yes,0-40k,Telecommunication,Python,,4,2,2,3,2,2,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:02:45,1899-12-30 10:19:00,62a352f00a77c1a77f65eae7
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Bachelors,Hispanic or Latino,No,0-40k,Finance,Python,,10,8,1,1,2,2,Difficult,Remote Work,Female,1899-12-30 00:02:40,1899-12-30 19:22:00,62a3d21ef3072dd8926314d1
20,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Bachelors,Hispanic or Latino,No,0-40k,Other,Python,,9,7,9,8,8,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:55,1899-12-30 15:28:00,62a39b6cf408bae018ede929
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,Hispanic or Latino,No,0-40k,Other,Python,,6,3,6,3,4,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:03:09,1899-12-30 14:12:00,62a38975b4da29969c637830
53,2022,Qtr 2,June,10,anonymous,Data Analyst,30,Other,Bachelors,Hispanic or Latino,No,41k-65k,Finance,Python,,5,5,5,5,4,5,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:32,1899-12-30 09:40:00,62a349d5d8c00e9f5419ead2
20,2022,Qtr 2,June,10,anonymous,Data Analyst,35,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Healthcare,R,,7,7,7,4,5,5,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:00:43,1899-12-30 22:32:00,62a3fea50a77c1a77f66e41b
20,2022,Qtr 2,June,10,anonymous,Data Analyst,33,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Other,Python,,8,8,8,4,7,8,Difficult,Remote Work,Male,1899-12-30 00:02:58,1899-12-30 23:37:00,62a40dfa5d257a28a30eb110
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Other,Python,,7,10,4,7,8,4,Easy,Good Work/Life Balance,Male,1899-12-30 00:01:23,1899-12-30 15:30:00,62a39bd324a262602738d725
20,2022,Qtr 2,June,10,anonymous,Data Analyst,33,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Tech,Python,,9,10,7,1,8,4,Easy,Better Salary,Male,1899-12-30 00:02:52,1899-12-30 12:23:00,62a36fe67dc029e2d66c5303
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Tech,Python,,9,8,9,8,10,10,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:03:18,1899-12-30 09:38:00,62a3496e575fa3a5ae88c4e6
20,2022,Qtr 2,June,10,anonymous,Data Analyst,44,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Tech,Python,,8,9,8,8,8,8,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:39,1899-12-30 10:52:00,62a35ababae91e4b8b83269d
20,2022,Qtr 2,June,10,anonymous,Data Analyst,41,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Telecommunication,R,,7,6,6,2,5,8,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:03:54,1899-12-30 12:57:00,62a377f424a2626027389af3
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Bachelors,Hispanic or Latino,Yes,66k-85k,Other,Python,,5,8,9,7,7,7,Easy,Good Work/Life Balance,Male,1899-12-30 00:03:09,1899-12-30 09:23:00,62a345e25d257a28a30d8b43
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,Other,Bachelors,Native Hawaiian or other Pacific Islander,No,0-40k,Healthcare,Python,,10,10,10,0,10,10,Difficult,Better Salary,Male,1899-12-30 00:01:27,1899-12-30 13:08:00,62a37a7818134ddc75cf0d4c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,Other (Please Specify):Bangladeshi,Yes,0-40k,Tech,Python,,4,8,3,3,7,2,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:04,1899-12-30 16:40:00,62a3ac4bf8f756164585ea83
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,Other (Please Specify):Egyp,Yes,0-40k,Tech,Python,,1,2,1,0,1,1,Very Difficult,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 18:55:00,62a3cbfef8d5efcc22f8b6f1
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,Other,Bachelors,Other (Please Specify):Half Asian half African,Yes,0-40k,Finance,Other,SQL Postgres,3,4,3,2,2,3,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:05:11,1899-12-30 10:21:00,62a353565d257a28a30da59f
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Bachelors,Other (Please Specify):Human,No,0-40k,Other,Python,,4,6,4,4,5,4,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:43,1899-12-30 09:14:00,62a343a22e54c9003e532a2a
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,Other (Please Specify):Kurdish,Yes,0-40k,Telecommunication,Python,,8,9,9,5,7,8,Very Easy,Better Salary,Male,1899-12-30 00:02:23,1899-12-30 12:11:00,62a36d3124a262602738862c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,White or Caucasian,No,0-40k,Other,Other,None,5,4,5,5,3,2,Difficult,Better Salary,Male,1899-12-30 00:01:57,1899-12-30 12:28:00,62a37128d8c00e9f541a39dd
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Bachelors,White or Caucasian,No,0-40k,Other,Python,,10,8,8,6,6,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:59,1899-12-30 15:39:00,62a39e03f408bae018eded39
20,2022,Qtr 2,June,10,anonymous,Data Analyst,23,Other,Bachelors,White or Caucasian,No,0-40k,Other,R,,4,6,3,1,5,6,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:01:17,1899-12-30 10:05:00,62a34fbacec54911e9ca776f
20,2022,Qtr 2,June,10,anonymous,Data Analyst,23,Other,Bachelors,White or Caucasian,No,0-40k,Real Estate,Python,,9,8,5,4,2,7,Easy,Better Salary,Male,1899-12-30 00:01:21,1899-12-30 12:29:00,62a3715124a2626027388f02
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,White or Caucasian,Yes,0-40k,Finance,Python,,5,5,4,5,3,2,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:27,1899-12-30 14:02:00,62a38733f8d5efcc22f859fc
20,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Bachelors,White or Caucasian,Yes,0-40k,Healthcare,Python,,6,5,5,2,4,6,Easy,Better Salary,Female,1899-12-30 00:02:04,1899-12-30 10:12:00,62a35130f3072dd892624d9f
20,2022,Qtr 2,June,10,anonymous,Data Analyst,41,Other,Bachelors,White or Caucasian,Yes,0-40k,Telecommunication,R,,5,7,5,5,5,7,Difficult,Better Salary,Male,1899-12-30 00:02:38,1899-12-30 11:40:00,62a365d5d8c00e9f541a20cf
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,31,Other,Bachelors,White or Caucasian,Yes,66k-85k,Other,Python,,10,5,8,7,7,8,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:32,1899-12-30 13:29:00,62a37f8db4da29969c6367bf
20,2022,Qtr 2,June,10,anonymous,Data Analyst,23,Other,High School,Hispanic or Latino,No,0-40k,Other,Python,,4,5,3,1,,4,Easy,Better Salary,Male,1899-12-30 00:02:04,1899-12-30 09:47:00,62a34b7ebae91e4b8b83076c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,High School,Hispanic or Latino,Yes,0-40k,Healthcare,R,,6,10,6,6,8,8,Easy,Remote Work,Male,1899-12-30 00:01:31,1899-12-30 11:20:00,62a36146f8f7561645856ff7
20,2022,Qtr 2,June,10,anonymous,Data Analyst,24,Other,High School,White or Caucasian,No,0-40k,Finance,Other,SQL,5,0,6,4,6,4,Difficult,Better Salary,Male,1899-12-30 00:01:36,1899-12-30 10:40:00,62a357d30f8c8599d5af4ea3
53,2022,Qtr 2,June,10,anonymous,Data Analyst,38,Other,High School,White or Caucasian,Yes,41k-65k,Healthcare,Other,None,8,8,4,7,6,8,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:03:49,1899-12-30 15:51:00,62a3a0bcf8f756164585daf7
53,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Masters,Asian or Asian American,No,41k-65k,Healthcare,Python,,9,8,9,7,9,5,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:25,1899-12-30 14:43:00,62a390e4f3072dd89262c0cd
20,2022,Qtr 2,June,10,anonymous,Data Analyst,31,Other,Masters,Black or African American,No,0-40k,Other,Python,,9,8,9,3,,5,Very Difficult,Other (Please Specify):Both Good work / life Balance and Good Culture,Male,1899-12-30 00:03:54,1899-12-30 11:39:00,62a365c2f8d5efcc22f81e2e
53,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Masters,Black or African American,No,41k-65k,Tech,Python,,6,5,6,6,3,6,Difficult,Good Culture,Male,1899-12-30 00:01:24,1899-12-30 09:15:00,62a34400d8c00e9f5419dc2b
20,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,Masters,Black or African American,Yes,0-40k,Education,Python,,2,4,3,1,3,2,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:40,1899-12-30 12:03:00,62a36b6c24a26260273882a2
53,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Masters,Hispanic or Latino,No,41k-65k,Finance,Python,,9,5,9,6,7,5,Neither easy nor difficult,"Other (Please Specify):I just started and I don't like programming so much, so I would search for a more ""impactiful"" role. Meaning: being able to take decisions that steer the business.",Female,1899-12-30 00:04:08,1899-12-30 13:56:00,62a385ddbae91e4b8b837855
20,2022,Qtr 2,June,10,anonymous,Data Analyst,30,Other,Masters,Hispanic or Latino,Yes,0-40k,Finance,Python,,9,10,10,10,9,9,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:30,1899-12-30 09:26:00,62a34687f408bae018ed4c52
20,2022,Qtr 2,June,10,anonymous,Data Analyst,30,Other,Masters,Hispanic or Latino,Yes,0-40k,Healthcare,Python,,10,10,8,4,8,10,Easy,Good Work/Life Balance,Male,1899-12-30 00:24:18,1899-12-30 13:37:00,62a38153cec54911e9cad855
20,2022,Qtr 2,June,10,anonymous,Data Analyst,30,Other,Masters,Other (Please Specify):African,No,0-40k,Finance,Python,,6,6,5,6,6,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:01,1899-12-30 11:47:00,62a36794b4da29969c633b48
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,28,Other,Masters,Other (Please Specify):Indian,Yes,86k-105k,Other,Python,,3,2,4,4,4,6,Easy,Better Salary,Female,1899-12-30 00:02:18,1899-12-30 17:06:00,62a3b255d8c00e9f541a9fd5
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,Other,Masters,White or Caucasian,No,0-40k,Finance,Python,,7,4,6,6,2,8,Easy,Other (Please Specify):Intresting work,Male,1899-12-30 00:04:19,1899-12-30 17:41:00,62a3baa624a262602738ff27
20,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Masters,White or Caucasian,No,0-40k,Other,Python,,5,5,5,5,5,5,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:00:57,1899-12-30 11:51:00,62a3688df8f7561645857f7e
53,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Masters,White or Caucasian,No,41k-65k,Healthcare,R,,8,10,6,7,5,5,Difficult,"Other (Please Specify):Want to move from Australia to Canada, so position in desired country",Female,1899-12-30 00:02:50,1899-12-30 10:33:00,62a35631cf25554317303425
53,2022,Qtr 2,June,10,anonymous,Data Analyst,26,Other,Masters,White or Caucasian,No,41k-65k,Other,Python,,2,2,3,2,2,6,Easy,Better Salary,Male,1899-12-30 00:01:16,1899-12-30 10:06:00,62a34ff1f408bae018ed601d
53,2022,Qtr 2,June,10,anonymous,Data Analyst,42,Other,Masters,White or Caucasian,No,41k-65k,Other,Python,,5,9,,6,6,8,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:02:39,1899-12-30 09:27:00,62a346d90a77c1a77f65d08d
20,2022,Qtr 2,June,10,anonymous,Data Analyst,31,Other,Masters,White or Caucasian,Yes,0-40k,Finance,Other,I don’t know any,4,3,3,3,3,5,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:46,1899-12-30 09:08:00,62a34256bae91e4b8b82f16d
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Masters,White or Caucasian,Yes,0-40k,Tech,Python,,4,1,5,4,2,4,Difficult,Better Salary,Male,1899-12-30 00:01:54,1899-12-30 16:30:00,62a3a9dbd8c00e9f541a93eb
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,Other,Masters,White or Caucasian,Yes,0-40k,Tech,Python,,8,8,7,6,7,7,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:36,1899-12-30 09:21:00,62a3455bbc6861bf3176d57a
20,2022,Qtr 2,June,10,anonymous,Data Analyst,36,Other,Masters,White or Caucasian,Yes,0-40k,Telecommunication,Python,,6,5,6,2,5,8,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:01:15,1899-12-30 09:18:00,62a3449f7dc029e2d66bf5d1
115.5,2022,Qtr 2,June,10,anonymous,Data Analyst,27,Other,Masters,White or Caucasian,Yes,106k-125k,Other,Python,,3,5,3,3,5,5,Easy,Better Salary,Male,1899-12-30 00:01:33,1899-12-30 09:20:00,62a3452818134ddc75ce9e1b
53,2022,Qtr 2,June,10,anonymous,Data Analyst,31,Other,Masters,White or Caucasian,Yes,41k-65k,Telecommunication,Python,,7,7,5,6,6,6,Difficult,Good Culture,Male,1899-12-30 00:01:36,1899-12-30 09:23:00,62a345c47dc029e2d66bf80a
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,30,Other,Masters,White or Caucasian,Yes,66k-85k,Finance,Python,,6,0,3,4,4,4,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:01,1899-12-30 12:23:00,62a3701f575fa3a5ae89164e
20,2022,Qtr 2,June,10,anonymous,Data Analyst,40,Other,PhD,White or Caucasian,Yes,0-40k,Other,Other,SQL,6,6,4,3,6,5,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:02:41,1899-12-30 13:52:00,62a384f0cec54911e9cadd6f
20,2022,Qtr 2,June,10,anonymous,Data Architect,34,Other,Masters,White or Caucasian,Yes,0-40k,Finance,Python,,2,5,3,5,3,6,Very Difficult,Good Work/Life Balance,Female,1899-12-30 00:03:13,1899-12-30 14:12:00,62a38985f8f756164585b89c
20,2022,Qtr 2,June,10,anonymous,Data Engineer,23,Other,"",Black or African American,No,0-40k,Other,Python,,7,7,5,0,7,8,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:18,1899-12-30 08:42:00,62a33c2cbc6861bf3176bec1
20,2022,Qtr 2,June,10,anonymous,Data Engineer,36,Other,Associates,Asian or Asian American,Yes,0-40k,Other,Python,,7,7,6,4,8,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:38,1899-12-30 13:54:00,62a385480f8c8599d5afa5c6
20,2022,Qtr 2,June,10,anonymous,Data Engineer,24,Other,Bachelors,Hispanic or Latino,No,0-40k,Healthcare,Python,,6,7,5,6,4,6,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:10,1899-12-30 12:32:00,62a37222cf2555431730732d
20,2022,Qtr 2,June,10,anonymous,Data Engineer,23,Other,Bachelors,White or Caucasian,Yes,0-40k,Tech,Python,,6,7,5,5,6,5,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:30,1899-12-30 10:53:00,62a35ae0575fa3a5ae88ea98
53,2022,Qtr 2,June,10,anonymous,Data Engineer,25,Other,High School,Other (Please Specify):Middleeas,Yes,41k-65k,Other,JavaScript,,6,6,6,6,6,6,Difficult,Good Culture,Male,1899-12-30 00:02:36,1899-12-30 09:48:00,62a34b99cec54911e9ca6e14
20,2022,Qtr 2,June,10,anonymous,Data Engineer,21,Other,Masters,Hispanic or Latino,No,0-40k,Tech,R,,2,7,5,2,5,3,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:01,1899-12-30 09:13:00,62a34389cec54911e9ca5a22
20,2022,Qtr 2,June,10,anonymous,Data Engineer,33,Other,Masters,Hispanic or Latino,Yes,0-40k,Tech,Python,,6,9,5,7,5,8,Difficult,Better Salary,Male,1899-12-30 00:03:05,1899-12-30 09:26:00,62a346a37dc029e2d66bfa6d
